[2024-04-25 14:16:19] Query testing started
[2024-04-25 14:50:22] Query 2-2, Iteration 8 finished
[2024-04-25 14:50:22] Query 2-2, Iteration 9 started
[2024-04-25 14:50:29] Query 2-2, Iteration 9 finished
[2024-04-25 14:50:29] Query 2-2, Iteration 10 started
[2024-04-25 14:50:36] Query 2-2, Iteration 10 finished
[2024-04-25 14:50:36] Query 2-2, Iteration 11 started
[2024-04-25 14:50:43] Query 2-2, Iteration 11 finished
[2024-04-25 14:50:43] Query 2-2, Iteration 12 started
[2024-04-25 14:50:50] Query 2-2, Iteration 12 finished
[2024-04-25 14:50:50] Query 2-2, Iteration 13 started
[2024-04-25 14:50:57] Query 2-2, Iteration 13 finished
[2024-04-25 14:50:57] Query 2-2, Iteration 14 started
[2024-04-25 14:51:04] Query 2-2, Iteration 14 finished
[2024-04-25 14:51:04] Query 2-2, Iteration 15 started
[2024-04-25 14:51:11] Query 2-2, Iteration 15 finished
[2024-04-25 14:51:11] Query 2-2, Iteration 16 started
[2024-04-25 14:51:17] Query 2-2, Iteration 16 finished
[2024-04-25 14:51:17] Query 2-2, Iteration 17 started
[2024-04-25 14:51:24] Query 2-2, Iteration 17 finished
[2024-04-25 14:51:24] Query 2-2, Iteration 18 started
[2024-04-25 14:51:31] Query 2-2, Iteration 18 finished
[2024-04-25 14:51:31] Query 2-2, Iteration 19 started
[2024-04-25 14:51:38] Query 2-2, Iteration 19 finished
[2024-04-25 14:51:38] Query 2-2, Iteration 20 started
[2024-04-25 14:51:46] Query 2-2, Iteration 20 finished
[2024-04-25 14:51:46] Query 3-1, Iteration 1 started
The transaction has been terminated. Retry your operation in a new transaction, and you should see a successful result. The transaction has not completed within the timeout specified at its start by the client. You may want to retry with a longer timeout. 
[2024-04-25 14:56:49] Query 3-2, Iteration 1 started
The transaction has been terminated. Retry your operation in a new transaction, and you should see a successful result. The transaction has not completed within the timeout specified at its start by the client. You may want to retry with a longer timeout. 
[2024-04-25 15:01:51] Query 3-3, Iteration 1 started
The transaction has been terminated. Retry your operation in a new transaction, and you should see a successful result. The transaction has not completed within the timeout specified at its start by the client. You may want to retry with a longer timeout. 
[2024-04-25 15:06:53] Query 3-4, Iteration 1 started
[2024-04-25 15:08:07] Query 3-4, Iteration 1 finished
[2024-04-25 15:08:07] Query 3-4, Iteration 2 started
[2024-04-25 15:09:23] Query 3-4, Iteration 2 finished
[2024-04-25 15:09:23] Query 3-4, Iteration 3 started
[2024-04-25 15:10:36] Query 3-4, Iteration 3 finished
[2024-04-25 15:10:36] Query 3-4, Iteration 4 started
[2024-04-25 15:11:50] Query 3-4, Iteration 4 finished
[2024-04-25 15:11:50] Query 3-4, Iteration 5 started
[2024-04-25 15:13:01] Query 3-4, Iteration 5 finished
[2024-04-25 15:13:01] Query 3-4, Iteration 6 started
[2024-04-25 15:14:15] Query 3-4, Iteration 6 finished
[2024-04-25 15:14:15] Query 3-4, Iteration 7 started
[2024-04-25 15:15:26] Query 3-4, Iteration 7 finished
[2024-04-25 15:15:26] Query 3-4, Iteration 8 started
[2024-04-25 15:16:38] Query 3-4, Iteration 8 finished
[2024-04-25 15:16:38] Query 3-4, Iteration 9 started
[2024-04-25 15:17:51] Query 3-4, Iteration 9 finished
[2024-04-25 15:17:51] Query 3-4, Iteration 10 started
[2024-04-25 15:19:03] Query 3-4, Iteration 10 finished
