[2024-04-01 10:23:22] Query testing started
[2024-04-01 12:08:48] Query 3-4, Iteration 18 finished
[2024-04-01 12:08:48] Query 3-4, Iteration 19 started
[2024-04-01 12:09:24] Query 3-4, Iteration 19 finished
[2024-04-01 12:09:24] Query 3-4, Iteration 20 started
[2024-04-01 12:10:00] Query 3-4, Iteration 20 finished
[2024-04-01 12:10:00] Query 4-1, Iteration 1 started
The transaction has been terminated. Retry your operation in a new transaction, and you should see a successful result. The transaction has not completed within the timeout specified at its start by the client. You may want to retry with a longer timeout. 
[2024-04-01 12:15:03] Query 4-2, Iteration 1 started
[2024-04-01 12:15:05] Query 4-2, Iteration 1 finished
[2024-04-01 12:15:05] Query 4-2, Iteration 2 started
[2024-04-01 12:15:07] Query 4-2, Iteration 2 finished
[2024-04-01 12:15:07] Query 4-2, Iteration 3 started
[2024-04-01 12:15:09] Query 4-2, Iteration 3 finished
[2024-04-01 12:15:09] Query 4-2, Iteration 4 started
[2024-04-01 12:15:10] Query 4-2, Iteration 4 finished
[2024-04-01 12:15:10] Query 4-2, Iteration 5 started
[2024-04-01 12:15:12] Query 4-2, Iteration 5 finished
[2024-04-01 12:15:12] Query 4-2, Iteration 6 started
[2024-04-01 12:15:14] Query 4-2, Iteration 6 finished
[2024-04-01 12:15:14] Query 4-2, Iteration 7 started
[2024-04-01 12:15:16] Query 4-2, Iteration 7 finished
[2024-04-01 12:15:16] Query 4-2, Iteration 8 started
[2024-04-01 12:15:18] Query 4-2, Iteration 8 finished
[2024-04-01 12:15:18] Query 4-2, Iteration 9 started
[2024-04-01 12:15:20] Query 4-2, Iteration 9 finished
[2024-04-01 12:15:20] Query 4-2, Iteration 10 started
[2024-04-01 12:15:22] Query 4-2, Iteration 10 finished
[2024-04-01 12:15:22] Query 4-2, Iteration 11 started
[2024-04-01 12:15:24] Query 4-2, Iteration 11 finished
[2024-04-01 12:15:24] Query 4-2, Iteration 12 started
[2024-04-01 12:15:27] Query 4-2, Iteration 12 finished
[2024-04-01 12:15:27] Query 4-2, Iteration 13 started
[2024-04-01 12:15:29] Query 4-2, Iteration 13 finished
[2024-04-01 12:15:29] Query 4-2, Iteration 14 started
[2024-04-01 12:15:31] Query 4-2, Iteration 14 finished
[2024-04-01 12:15:31] Query 4-2, Iteration 15 started
[2024-04-01 12:15:33] Query 4-2, Iteration 15 finished
[2024-04-01 12:15:33] Query 4-2, Iteration 16 started
[2024-04-01 12:15:35] Query 4-2, Iteration 16 finished
[2024-04-01 12:15:35] Query 4-2, Iteration 17 started
[2024-04-01 12:15:37] Query 4-2, Iteration 17 finished
[2024-04-01 12:15:37] Query 4-2, Iteration 18 started
[2024-04-01 12:15:39] Query 4-2, Iteration 18 finished
[2024-04-01 12:15:39] Query 4-2, Iteration 19 started
[2024-04-01 12:15:41] Query 4-2, Iteration 19 finished
[2024-04-01 12:15:41] Query 4-2, Iteration 20 started
[2024-04-01 12:15:43] Query 4-2, Iteration 20 finished
[2024-04-01 12:15:43] Query 5, Iteration 1 started
[2024-04-01 12:16:33] Query 5, Iteration 1 finished
[2024-04-01 12:16:33] Query 5, Iteration 2 started
[2024-04-01 12:17:23] Query 5, Iteration 2 finished
[2024-04-01 12:17:23] Query 5, Iteration 3 started
[2024-04-01 12:18:12] Query 5, Iteration 3 finished
[2024-04-01 12:18:12] Query 5, Iteration 4 started
[2024-04-01 12:19:00] Query 5, Iteration 4 finished
[2024-04-01 12:19:00] Query 5, Iteration 5 started
